"id","estado_id","nome","uf","iso","ddd","longitude","latitude"
"192","4","Ferreira Gomes","AP","1600238","96","-51.1874290460046","0.853977393142956"
"193","4","Itaubal","AP","1600253","96","-50.7001794374183","0.600653288304609"
"194","4","Laranjal do Jari","AP","1600279","96","-52.5390207369393","-0.8556645"
"195","4","Macapá","AP","1600303","96","-51.057405457036","0.03895101"
"196","4","Mazagão","AP","1600402","96","-51.2860768561013","-0.124396328821101"
"197","4","Oiapoque","AP","1600501","96","-51.8305525552731","3.85113073255929"
"198","4","Porto Grande","AP","1600535","96","-51.4144488229915","0.712554701824323"
"199","4","Pracuúba","AP","1600550","96","-50.7842537212883","1.74250848707834"
"200","4","Santana","AP","1600600","96","-51.1728464650687","-0.0383734790956603"
"201","4","Tartarugalzinho","AP","1600709","96","-50.9127861523142","1.50984824031107"
"202","4","Vitória do Jari","AP","1600808","96","-52.4196147795718","-0.918977088542799"
"203","5","Abaíra","BA","2900108","77","-41.661608480236","-13.2535318932762"
"204","5","Abaré","BA","2900207","75","-39.1165879396428","-8.72341824568634"
"205","5","Acajutiba","BA","2900306","75","-38.0182863705796","-11.6626128300483"
"206","5","Adustina","BA","2900355","75","-38.1155058347825","-10.5295715700202"
"207","5","Água Fria","BA","2900405","75","-38.7680777950043","-11.8729309975791"
"208","5","Érico Cardoso","BA","2900504","77","-42.1361637333109","-13.4223477953016"
"209","5","Aiquara","BA","2900603","73","-39.8857780091229","-14.1272774885543"
"210","5","Alagoinhas","BA","2900702","75","-38.4226157693395","-12.1341825924055"
"211","5","Alcobaça","BA","2900801","73","-39.1942143206578","-17.5189333438062"
"212","5","Almadina","BA","2900900","73","-39.6359031752447","-14.7060477475217"
"213","5","Amargosa","BA","2901007","75","-39.5981225034895","-13.0344513621971"
"214","5","Amélia Rodrigues","BA","2901106","75","-38.7555569164417","-12.4001884013071"
"215","5","América Dourada","BA","2901155","74","-41.4371632791237","-11.4496458647759"
"216","5","Anagé","BA","2901205","77","-41.1271131685047","-14.6113255924937"
"217","5","Andaraí","BA","2901304","75","-41.3246418039988","-12.8013506460241"
"218","5","Andorinha","BA","2901353","74","-39.8323357010101","-10.3442400415346"
"219","5","Angical","BA","2901403","77","-44.6958234827073","-12.0066827725325"
"220","5","Anguera","BA","2901502","75","-39.2484989182822","-12.1495870700754"
"221","5","Antas","BA","2901601","75","-38.3310416783347","-10.4127021692653"
"222","5","Antônio Cardoso","BA","2901700","75","-39.1186615354614","-12.4348389094768"
"223","5","Antônio Gonçalves","BA","2901809","74","-40.2756586985804","-10.5757977912944"
"224","5","Aporá","BA","2901908","75","-38.0799953494517","-11.6553942918973"
"225","5","Apuarema","BA","2901957","73","-39.7421321165047","-13.853228848819"
"226","5","Aracatu","BA","2902005","77","-41.4616853206574","-14.4266302419957"
"227","5","Araças","BA","2902054","75","-38.1982880171949","-12.2151996675491"
"228","5","Araci","BA","2902104","75","-38.9609581594029","-11.3357278753122"
"229","5","Aramari","BA","2902203","75","-38.5030663542087","-12.0881829783087"
"230","5","Arataca","BA","2902252","73","-39.4132815657126","-15.260872997351"
"231","5","Aratuípe","BA","2902302","75","-39.0029108659812","-13.0805965410127"
"232","5","Aurelino Leal","BA","2902401","73","-39.3219966377059","-14.3169494479569"
"233","5","Baianópolis","BA","2902500","77","-44.5360980467187","-12.3041247007939"
"234","5","Baixa Grande","BA","2902609","74","-40.1668609095132","-11.9593574889724"
"235","5","Banzaê","BA","2902658","75","-38.6118696305729","-10.5740919358198"
"236","5","Barra","BA","2902708","74","-43.1436385524586","-11.0889548205462"
"237","5","Barra da Estiva","BA","2902807","77","-41.3316958704896","-13.6202045630406"
"238","5","Barra do Choça","BA","2902906","77","-40.5763729895987","-14.864273042783"
"239","5","Barra do Mendes","BA","2903003","74","-42.0591284156826","-11.8088282812611"
"240","5","Barra do Rocha","BA","2903102","73","-39.601386089866","-14.210029248501"
"241","5","Barreiras","BA","2903201","77","-45.0041684370285","-12.1449248883906"
"242","5","Barro Alto","BA","2903235","74","-41.9120960647526","-11.7610639229593"
"243","5","Barrocas","BA","2903276","75","-39.0786688809182","-11.5291128520783"
"244","5","Barro Preto","BA","2903300","73","-39.4733346713801","-14.8097543871027"
"245","5","Belmonte","BA","2903409","73","-38.8803032385601","-15.8613964917869"
"246","5","Belo Campo","BA","2903508","77","-41.2600334790203","-15.0334961972012"
"247","5","Biritinga","BA","2903607","75","-38.8121589228975","-11.6201102629816"
"248","5","Boa Nova","BA","2903706","77","-40.2005218938254","-14.3626079430408"
"249","5","Boa Vista do Tupim","BA","2903805","75","-40.6057428240473","-12.6613221925482"
"250","5","Bom Jesus da Lapa","BA","2903904","77","-43.417141642139","-13.2541143730901"
"251","5","Bom Jesus da Serra","BA","2903953","77","-40.501176329753","-14.3729222943841"
"252","5","Boninal","BA","2904001","75","-41.8243284848072","-12.7151207923139"
"253","5","Bonito","BA","2904050","75","-41.2684027881505","-11.9695725020911"
"254","5","Boquira","BA","2904100","77","-42.7301154012176","-12.8208228300175"
"255","5","Botuporã","BA","2904209","77","-42.5292775589668","-13.3808662136783"
"256","5","Brejões","BA","2904308","75","-39.7934915926573","-13.105536483186"
"257","5","Brejolândia","BA","2904407","77","-43.9656645942921","-12.486693342119"
"258","5","Brotas de Macaúbas","BA","2904506","77","-42.6246912893431","-12.0026355373041"
"259","5","Brumado","BA","2904605","77","-41.6670695036664","-14.2054382406597"
"260","5","Buerarema","BA","2904704","73","-39.3025196057871","-14.9564408366046"
"261","5","Buritirama","BA","2904753","77","-43.6313808982398","-10.7117914663194"
"262","5","Caatiba","BA","2904803","77","-40.4102724753438","-14.9785506351839"
"263","5","Cabaceiras do Paraguaçu","BA","2904852","75","-39.1867130922404","-12.5371357853541"
"264","5","Cachoeira","BA","2904902","75","-38.9693980689823","-12.5962107984627"
"265","5","Caculé","BA","2905008","77","-42.2214140996087","-14.5042061971359"
"266","5","Caém","BA","2905107","74","-40.4373119407154","-11.0930915174846"
"267","5","Caetanos","BA","2905156","77","-40.9092896392257","-14.3385629673677"
"268","5","Caetité","BA","2905206","77","-42.4857114474597","-14.0667543191246"
"269","5","Cafarnaum","BA","2905305","74","-41.4722215133285","-11.6913562190577"
"270","5","Cairu","BA","2905404","75","-39.0432543550852","-13.4876034013497"
"271","5","Caldeirão Grande","BA","2905503","74","-40.307370359496","-11.0221557768896"
"272","5","Camacan","BA","2905602","73","-39.4963673314917","-15.417626851831"
"273","5","Camaçari","BA","2905701","71","-38.3257400620652","-12.69881676"
"274","5","Camamu","BA","2905800","73","-39.1005697174881","-13.9470763405896"
"275","5","Campo Alegre de Lourdes","BA","2905909","74","-43.0122984390904","-9.51715411399994"
"276","5","Campo Formoso","BA","2906006","74","-40.3188209870999","-10.5056615545438"
"277","5","Canápolis","BA","2906105","77","-44.2050289853753","-13.0759114976724"
"278","5","Canarana","BA","2906204","74","-41.7654922319867","-11.6875833139667"
"279","5","Canavieiras","BA","2906303","73","-38.9473758746396","-15.6797774765314"
"280","5","Candeal","BA","2906402","75","-39.1237184954764","-11.8049702300289"
"281","5","Candeias","BA","2906501","71","-38.5435962675254","-12.6719227052682"
"282","5","Candiba","BA","2906600","77","-42.8644023352399","-14.4131865031095"
"283","5","Cândido Sales","BA","2906709","77","-41.2411175945831","-15.5060663507903"
"284","5","Cansanção","BA","2906808","75","-39.4966050064607","-10.6667499148657"
"285","5","Canudos","BA","2906824","75","-39.024071242689","-9.8906729609418"
"286","5","Capela do Alto Alegre","BA","2906857","75","-39.8353553091028","-11.6700816433262"
"287","5","Capim Grosso","BA","2906873","74","-40.0110006117175","-11.3815744576449"
"288","5","Caraíbas","BA","2906899","77","-41.2654313236692","-14.72206949374"
"289","5","Caravelas","BA","2906907","73","-39.2533822213722","-17.7333705274895"
"290","5","Cardeal da Silva","BA","2907004","75","-37.9454765829698","-11.9407674063607"
